text,head,tail,url,date
Silas Deane to Elizabeth Deane ,Silas Deane,Elizabeth Deane,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg0014)),1774-08-31
John Adams to Abigail Adams ,John Adams,Abigail Adams,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00152)),1774-09-17
Samuel Adams to Joseph Warren? ,Samuel Adams,Joseph Warren?,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00191)),1774-09-24
Samuel Ward to Henry Marchant ,Samuel Ward,Henry Marchant,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001145)),1774-10-07
Edward Rutledge to Ralph Izard ,Edward Rutledge,Ralph Izard,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001217)),1774-10-29
James Duane to Thomas Johnson ,James Duane,Thomas Johnson,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001235)),1774-12-29
Richard Henry Lee to Arthur Lee ,Richard Henry Lee,Arthur Lee,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001253)),1775-02-24
Benjamin Franklin to David Hartley ,Benjamin Franklin,David Hartley,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001270)),1775-05-08
"Silas Deane to Jonathan Trumbull, Sr. ",Silas Deane,"Jonathan Trumbull, Sr.",/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001306)),1775-05-20
Richard Henry Lee to Gouverneur Morris ,Richard Henry Lee,Gouverneur Morris,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001344)),1775-05-28
Joseph Hewes to Samuel Johnston ,Joseph Hewes,Samuel Johnston,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001380)),1775-06-05
George Clinton to John McKesson ,George Clinton,John McKesson,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001410)),NA
Silas Deane to Elizabeth Deane ,Silas Deane,Elizabeth Deane,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001437)),1775-06-16
John Adams to William Tudor ,John Adams,William Tudor,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001457)),1775-06-20
Silas Deane to Joseph Trumbull ,Silas Deane,Joseph Trumbull,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001477)),NA
John Hancock to George Washington ,John Hancock,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001498)),1775-06-28
Thomas Jefferson to Francis Eppes ,Thomas Jefferson,Francis Eppes,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001521)),1775-07-04
John Adams to Abigail Adams ,John Adams,Abigail Adams,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001542)),1775-07-07
Edmund Pendleton to George Washington ,Edmund Pendleton,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001563)),1775-07-12
Eliphalet Dyer to Joseph Trumbull ,Eliphalet Dyer,Joseph Trumbull,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001588)),1775-07-21
Benjamin Harrison to George Washington ,Benjamin Harrison,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001608)),1775-07-25
Samuel Adams to Elizabeth Adams ,Samuel Adams,Elizabeth Adams,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001628)),1775-07-30
"Samuel Ward to Samuel Ward, Jr. ",Samuel Ward,"Samuel Ward, Jr.",/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg001652)),1775-08-18
William Whipple to Meshech Weare ,William Whipple,Meshech Weare,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg01325)),1779-06-04
James Duane to Mary Duane ,James Duane,Mary Duane,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg01358)),1779-06-12
John Jay to Benjamin Franklin ,John Jay,Benjamin Franklin,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg01390)),1779-06-18
John Jay to Samuel H. Parsons ,John Jay,Samuel H. Parsons,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013116)),NA
Nathaniel Peabody to Josiah Bartlett ,Nathaniel Peabody,Josiah Bartlett,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013157)),1779-07-03
John Jay to George Washington ,John Jay,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013192)),NA
Cyrus Griffin to Thomas Jefferson ,Cyrus Griffin,Thomas Jefferson,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013217)),1779-07-13
James Lovell to Samuel Adams ,James Lovell,Samuel Adams,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013245)),1779-07-16
John Jay to George Washington ,John Jay,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013270)),1779-07-20
William Whipple to John Langdon ,William Whipple,John Langdon,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013301)),1779-07-27
Henry Laurens to John Laurens ,Henry Laurens,John Laurens,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013324)),1779-07-31
James Lovell to Abigail Adams ,James Lovell,Abigail Adams,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013356)),1779-08-09
John Jay to James Avery ,John Jay,James Avery,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013374)),NA
Gouverneur Morris to Thomas Johnson ,Gouverneur Morris,Thomas Johnson,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013402)),1779-08-17
Jesse Root to Oliver Ellsworth ,Jesse Root,Oliver Ellsworth,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013424)),1779-08-23
John Jay to George Washington ,John Jay,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013442)),1779-08-25
Henry Laurens to Richard Henry Lee ,Henry Laurens,Richard Henry Lee,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013463)),1779-08-31
John Dickinson to Caesar Rodney ,John Dickinson,Caesar Rodney,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013507)),1779-09-08
John Jay to Ernst Ludwig de Widdersheim ,John Jay,Ernst Ludwig de Widdersheim,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013539)),1779-09-17
John Mathews to Thomas Bee ,John Mathews,Thomas Bee,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013565)),1779-09-21
James Lovell to Richard Henry Lee ,James Lovell,Richard Henry Lee,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013593)),1779-09-27
Nathaniel Peabody to Josiah Bartlett ,Nathaniel Peabody,Josiah Bartlett,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg013618)),NA
 Samuel Ward to George Washington ,Samuel Ward,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00233)),1775-09-17
John Adams to Mercy Warren ,John Adams,Mercy Warren,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00274)),1775-09-26
Eliphalet Dyer to Zebulon Butler ,Eliphalet Dyer,Zebulon Butler,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg002112)),NA
John Hancock to William Palfrey ,John Hancock,William Palfrey,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg002136)),1775-10-05
John Adams to Abigail Adams ,John Adams,Abigail Adams,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg002169)),NA
John Jay to Alexander McDougall ,John Jay,Alexander McDougall,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg002201)),1775-10-17
John Adams to James Warren ,John Adams,James Warren,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg002224)),1775-10-21
John Hancock to the New Jersey Convention ,John Hancock,the New Jersey Convention,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg002249)),NA
Samuel Ward to Henry Ward ,Samuel Ward,Henry Ward,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg002282)),1775-11-02
Samuel Ward to Henry Ward ,Samuel Ward,Henry Ward,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg002305)),1775-11-07
Samuel Ward to Catharine Greene ,Samuel Ward,Catharine Greene,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg002330)),1775-11-13
George Ross to James Wilson ,George Ross,James Wilson,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg002347)),1775-11-18
Samuel Ward to Henry Ward ,Samuel Ward,Henry Ward,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg002365)),1775-11-23
Francis Lewis to John Alsop ,Francis Lewis,John Alsop,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg002387)),1775-11-28
John Adams to Abigail Adams ,John Adams,Abigail Adams,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg002412)),1775-12-03
Thomas Lynch to George Washington ,Thomas Lynch,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg002436)),1775-12-08
